name,payroll,#-of-players,$-per-player,#-of-wins,$-per-win,#-of-runs,$-per-run,difference--of-payroll--to-avg,%-change--from-avg-payroll,%-change-from-avg-#-runs,%-change-from-avg--#--wins,%-change-of-wins-/-%-change--in-payroll,theoretic-%-change-from-avg-#-wins,theoretic--#-of-wins,%-error-of-theory,theoretical-2012-based-on-%-pre-error,theoretical-2012-based-on-%-post-error,theoretical-2012-based-on-average-$-per-win-
"Arizona|Diamondbacks-2006","61,818,898.00",29.00,"2,131,686.14",76.00,"813,406.55",773.00,"79,972.70","-3,212,525.14",-4.94,6.16,-4.40,0.89,-1.88,78.00,2.63,-,-,-
"Arizona|Diamondbacks-2007","53,904,000.00",32.00,"1,684,500.00",90.00,"598,933.33",712.00,"75,707.87","-11,127,423.14",-17.11,-2.22,13.21,-0.77,-6.53,74.31,17.43,-,-,-
"Arizona|Diamondbacks-2008","66,528,000.00",29.00,"2,294,068.97",82.00,"811,317.07",720.00,"92,400.00","1,496,576.86",2.30,-1.12,3.14,1.37,0.88,80.20,2.20,-,-,-
"Arizona|Diamondbacks-2009","73,407,500.00",28.00,"2,621,696.43",70.00,"1,048,678.57",720.00,"101,954.86","8,376,076.86",12.88,-1.12,-11.95,-0.93,4.91,83.41,19.15,-,-,-
"Arizona|Diamondbacks-2010","72,687,565.00",28.00,"2,595,984.46",65.00,"1,118,270.23",713.00,"101,946.09","7,656,141.86",11.77,-2.08,-18.24,-1.55,4.49,83.07,27.80,-,-,-
"Arizona|Diamondbacks-2011","55,889,833.00",29.00,"1,927,235.62",94.00,"594,572.69",731.00,"76,456.68","-9,141,590.14",-14.06,0.39,18.24,-1.30,-5.36,75.24,19.96,-,-,-
"Arizona|Diamondbacks-2012","70,984,166.00",-,-,-,-,-,-,"5,952,742.86",0.09,-,0.03,-,-,-,-,79.53,69.24,85.43
"Arizona|Diamondbacks-AVG","65,031,423.14",29.17,"2,209,195.27",79.50,"830,863.08",728.17,"88,073.03",0.00,0.00,-,-,0.38,-,-,14.86,-,-,-
"Atlanta|Braves--2007","87,780,833.00",28.00,"3,135,029.75",84.00,"1,045,009.92",810.00,"108,371.40","-3,219,806.71",-3.54,7.38,0.60,-0.17,-4.20,79.99,4.77,-,-,-
"Atlanta|Braves-2006","89,820,876.00",28.00,"3,207,888.43",79.00,"1,136,973.11",849.00,"105,796.08","-1,179,763.71",-1.30,12.55,-5.39,4.16,-1.54,82.21,4.07,-,-,-
